"School","Year","Confirmed","Choice","Count"
"ALG","13-14","Y",3,24
"ALG","13-14","Y",4,18
"ALG","14-15","Y",1,197
"ALG","14-15","Y",2,41
"ALG","14-15","Y",3,26
"ALG","14-15","Y",4,20
"ALG","15-16","Y",1,167
"ALG","15-16","Y",2,32
"ALG","15-16","Y",3,23
"ALG","15-16","Y",4,23
"ALG","16-17","Y",1,128
"ALG","16-17","Y",2,22
"ALG","16-17","Y",3,20
"ALG","16-17","Y",4,24
"BRO","07-08","Y",1,2096
"BRO","07-08","Y",2,698
"BRO","07-08","Y",3,515
"BRO","07-08","Y",4,469
"BRO","08-09","Y",1,2134
"BRO","08-09","Y",2,742
"BRO","08-09","Y",3,529
"BRO","08-09","Y",4,469
"BRO","09-10","Y",1,2132
"BRO","09-10","Y",2,764
"BRO","09-10","Y",3,521
"BRO","09-10","Y",4,487
"BRO","10-11","Y",1,2217
"BRO","10-11","Y",2,823
"BRO","10-11","Y",3,544
"BRO","10-11","Y",4,490
"BRO","11-12","Y",1,2145
"BRO","11-12","Y",2,931
"BRO","11-12","Y",3,624
"BRO","11-12","Y",4,542
"BRO","12-13","Y",1,2229
"BRO","12-13","Y",2,857
"BRO","12-13","Y",3,558
"BRO","12-13","Y",4,513
"BRO","13-14","Y",1,2260
"BRO","13-14","Y",2,864
"BRO","13-14","Y",3,504
"BRO","13-14","Y",4,485
"BRO","14-15","Y",1,2229
"BRO","14-15","Y",2,818
"BRO","14-15","Y",3,504
"BRO","14-15","Y",4,474
"BRO","15-16","Y",1,2071
"BRO","15-16","Y",2,793
"BRO","15-16","Y",3,517
"BRO","15-16","Y",4,498
"BRO","16-17","Y",1,2038
"BRO","16-17","Y",2,740
"BRO","16-17","Y",3,434
"BRO","16-17","Y",4,475
"CAR","07-08","Y",1,2861
"CAR","07-08","Y",2,956
"CAR","07-08","Y",3,507
"CAR","07-08","Y",4,392
"CAR","08-09","Y",1,2764
