Programs / Programmes
---------------------

ABS	Agriculture & Biological Science                    	Sciences agricoles et biologiques
73  	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades                                                                                                                                                       	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement
730 	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Contractors and supervisors, maintenance trades and heavy equipment and transport operators                                                        	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses du personnel des métiers d'entretien et des opérateurs d'équipement lourd et de transport
7301	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Contractors and supervisors, mechanic trades                                                                                                       	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en mécanique
7302	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Contractors and supervisors, heavy equipment operator crews                                                                                        	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des équipes d'opérateurs d'équipement lourd
7303	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Supervisors, printing and related occupations                                                                                                      	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Surveillants/surveillantes de l'imprimerie et du personnel assimilé
7304	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Supervisors, railway transport operations                                                                                                          	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Surveillants/surveillantes des opérations du transport ferroviaire
7305	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Supervisors, motor transport and other ground transit operators                                                                                    	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Surveillants/surveillantes du transport routier et du transport en commun
7311	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Construction millwrights and industrial mechanics                                                                                                  	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles
7312	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Heavy-duty equipment mechanics                                                                                                                     	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Mécaniciens/mécaniciennes d'équipement lourd
7314	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Railway carmen/women                                                                                                                               	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Réparateurs/réparatrices de wagons
7315	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Aircraft mechanics and aircraft inspectors                                                                                                         	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Mécaniciens/mécaniciennes et contrôleurs/contrôleuses d'aéronefs
7318	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Elevator constructors and mechanics                                                                                                                	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Constructeurs/constructrices et mécaniciens/mécaniciennes d'ascenseurs
7321	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Automotive service technicians, truck and bus mechanics and mechanical repairers                                                                   	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Mécaniciens/mécaniciennes et réparateurs/réparatrices de véhicules automobiles, de camions et d'autobus
7322	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Motor vehicle body repairers                                                                                                                       	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Débosseleurs/débosseleuses et réparateurs/réparatrices de carrosserie
7332	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Appliance servicers and repairers                                                                                                                  	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Réparateurs/réparatrices et préposés/préposées à l'entretien d'appareils
7334	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Motorcycle, all-terrain vehicle and other related mechanics                                                                                        	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Mécaniciens/mécaniciennes de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé
7335	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Other small engine and small equipment repairers                                                                                                   	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Autres réparateurs/réparatrices de petits moteurs et de petits équipements
7362	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Railway conductors and brakemen/women                                                                                                              	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Chefs de train et serre-freins
7371	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Crane operators                                                                                                                                    	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Grutiers/grutières
7381	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Printing press operators                                                                                                                           	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Opérateurs/opératrices de presses à imprimer
7384	Trades, transport and equipment operators and related occupations -> Maintenance and equipment operation trades -> Other trades and related occupations, n.e.c.                                                                                                       	Métiers, transport, machinerie et domaines apparentés -> Personnel des métiers d'entretien et d'opération d'équipement -> Autre personnel des métiers et personnel assimilé, n.c.a.
7441	Trades, transport and equipment operators and related occupations -> Other installers, repairers and servicers and material handlers -> Residential and commercial installers and servicers                                                                           	Métiers, transport, machinerie et domaines apparentés -> Personnel d'installation, de réparation et d'entretien et manutentionnaires -> Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial
7442	Trades, transport and equipment operators and related occupations -> Other installers, repairers and servicers and material handlers -> Waterworks and gas maintenance workers                                                                                        	Métiers, transport, machinerie et domaines apparentés -> Personnel d'installation, de réparation et d'entretien et manutentionnaires -> Personnel d'entretien des canalisations d'eau et de gaz
7444	Trades, transport and equipment operators and related occupations -> Other installers, repairers and servicers and material handlers -> Pest controllers and fumigators                                                                                               	Métiers, transport, machinerie et domaines apparentés -> Personnel d'installation, de réparation et d'entretien et manutentionnaires -> Fumigateurs/fumigatrices et préposés/préposées au contrôle de la vermine
7445	Trades, transport and equipment operators and related occupations -> Other installers, repairers and servicers and material handlers -> Other repairers and servicers                                                                                                 	Métiers, transport, machinerie et domaines apparentés -> Personnel d'installation, de réparation et d'entretien et manutentionnaires -> Autres réparateurs/réparatrices et préposés/préposées à l'entretien
7452	Trades, transport and equipment operators and related occupations -> Other installers, repairers and servicers and material handlers -> Material handlers                                                                                                             	Métiers, transport, machinerie et domaines apparentés -> Personnel d'installation, de réparation et d'entretien et manutentionnaires -> Manutentionnaires
75  	Trades, transport and equipment operators and related occupations -> Transport and heavy equipment operation and related maintenance occupations                                                                                                                      	Métiers, transport, machinerie et domaines apparentés -> Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien
751 	Trades, transport and equipment operators and related occupations -> Transport and heavy equipment operation and related maintenance occupations -> Motor vehicle and transit drivers                                                                                 	Métiers, transport, machinerie et domaines apparentés -> Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien -> Conducteurs/conductrices de véhicules automobiles et de véhicules de transport en commun
7511	Trades, transport and equipment operators and related occupations -> Transport and heavy equipment operation and related maintenance occupations -> Transport truck drivers                                                                                           	Métiers, transport, machinerie et domaines apparentés -> Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien -> Conducteurs/conductrices de camions de transport
7512	Trades, transport and equipment operators and related occupations -> Transport and heavy equipment operation and related maintenance occupations -> Bus drivers, subway operators and other transit operators                                                         	Métiers, transport, machinerie et domaines apparentés -> Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien -> Conducteurs/conductrices d'autobus et opérateurs/opératrices de métro et autres transports en commun
7513	Trades, transport and equipment operators and related occupations -> Transport and heavy equipment operation and related maintenance occupations -> Taxi and limousine drivers and chauffeurs                                                                         	Métiers, transport, machinerie et domaines apparentés -> Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien -> Chauffeurs/chauffeuses de taxi, chauffeurs/chauffeuses de limousine et chauffeurs/chauffeuses
7514	Trades, transport and equipment operators and related occupations -> Transport and heavy equipment operation and related maintenance occupations -> Delivery and courier service drivers                                                                              	Métiers, transport, machinerie et domaines apparentés -> Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien -> Chauffeurs-livreurs/chauffeuses-livreuses - services de livraison et de messagerie
7521	Trades, transport and equipment operators and related occupations -> Transport and heavy equipment operation and related maintenance occupations -> Heavy equipment operators (except crane)                                                                          	Métiers, transport, machinerie et domaines apparentés -> Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien -> Conducteurs/conductrices d'équipement lourd (sauf les grues)
7522	Trades, transport and equipment operators and related occupations -> Transport and heavy equipment operation and related maintenance occupations -> Public works maintenance equipment operators and related workers                                                  	Métiers, transport, machinerie et domaines apparentés -> Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien -> Conducteurs/conductrices de machinerie d'entretien public et personnel assimilé
7532	Trades, transport and equipment operators and related occupations -> Transport and heavy equipment operation and related maintenance occupations -> Water transport deck and engine room crew                                                                         	Métiers, transport, machinerie et domaines apparentés -> Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien -> Matelots de pont et matelots de salle des machines du transport par voies navigables
7533	Trades, transport and equipment operators and related occupations -> Transport and heavy equipment operation and related maintenance occupations -> Boat and cable ferry operators and related occupations                                                            	Métiers, transport, machinerie et domaines apparentés -> Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien -> Opérateurs/opératrices de bateau à moteur, de bac à câble et personnel assimilé
7534	Trades, transport and equipment operators and related occupations -> Transport and heavy equipment operation and related maintenance occupations -> Air transport ramp attendants                                                                                     	Métiers, transport, machinerie et domaines apparentés -> Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien -> Agents/agentes de piste dans le transport aérien
7535	Trades, transport and equipment operators and related occupations -> Transport and heavy equipment operation and related maintenance occupations -> Other automotive mechanical installers and servicers                                                              	Métiers, transport, machinerie et domaines apparentés -> Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien -> Autres préposés/préposées à la pose et à l'entretien des pièces mécaniques d'automobiles
76  	Trades, transport and equipment operators and related occupations -> Trades helpers, construction labourers and related occupations                                                                                                                                   	Métiers, transport, machinerie et domaines apparentés -> Personnel de soutien des métiers, manoeuvres et aides d'entreprise en construction et autre personnel assimilé
761 	Trades, transport and equipment operators and related occupations -> Trades helpers, construction labourers and related occupations -> Trades helpers and labourers                                                                                                   	Métiers, transport, machinerie et domaines apparentés -> Personnel de soutien des métiers, manoeuvres et aides d'entreprise en construction et autre personnel assimilé -> Aides de soutien des métiers et manoeuvres
7611	Trades, transport and equipment operators and related occupations -> Trades helpers, construction labourers and related occupations -> Construction trades helpers and labourers                                                                                      	Métiers, transport, machinerie et domaines apparentés -> Personnel de soutien des métiers, manoeuvres et aides d'entreprise en construction et autre personnel assimilé -> Aides de soutien des métiers et manoeuvres en construction
7612	Trades, transport and equipment operators and related occupations -> Trades helpers, construction labourers and related occupations -> Other trades helpers and labourers                                                                                             	Métiers, transport, machinerie et domaines apparentés -> Personnel de soutien des métiers, manoeuvres et aides d'entreprise en construction et autre personnel assimilé -> Autres manoeuvres et aides de soutien de métiers
7621	Trades, transport and equipment operators and related occupations -> Trades helpers, construction labourers and related occupations -> Public works and maintenance labourers                                                                                         	Métiers, transport, machinerie et domaines apparentés -> Personnel de soutien des métiers, manoeuvres et aides d'entreprise en construction et autre personnel assimilé -> Manoeuvres à l'entretien des travaux publics
7622	Trades, transport and equipment operators and related occupations -> Trades helpers, construction labourers and related occupations -> Railway and motor transport labourers                                                                                          	Métiers, transport, machinerie et domaines apparentés -> Personnel de soutien des métiers, manoeuvres et aides d'entreprise en construction et autre personnel assimilé -> Manoeuvres dans le transport ferroviaire et routier
82  	Natural resources, agriculture and related production occupations -> Supervisors and technical occupations in natural resources, agriculture and related production                                                                                                   	Ressources naturelles, agriculture et production connexe -> Superviseurs/superviseures et métiers techniques dans les ressources naturelles, l'agriculture et la production connexe
8211	Natural resources, agriculture and related production occupations -> Supervisors and technical occupations in natural resources, agriculture and related production -> Supervisors, logging and forestry                                                              	Ressources naturelles, agriculture et production connexe -> Superviseurs/superviseures et métiers techniques dans les ressources naturelles, l'agriculture et la production connexe -> Surveillants/surveillantes de l'exploitation forestière
8221	Natural resources, agriculture and related production occupations -> Supervisors and technical occupations in natural resources, agriculture and related production -> Supervisors, mining and quarrying                                                              	Ressources naturelles, agriculture et production connexe -> Superviseurs/superviseures et métiers techniques dans les ressources naturelles, l'agriculture et la production connexe -> Surveillants/surveillantes de l'exploitation des mines et des carrières
8222	Natural resources, agriculture and related production occupations -> Supervisors and technical occupations in natural resources, agriculture and related production -> Contractors and supervisors, oil and gas drilling and services                                 	Ressources naturelles, agriculture et production connexe -> Superviseurs/superviseures et métiers techniques dans les ressources naturelles, l'agriculture et la production connexe -> Entrepreneurs/entrepreneuses et surveillants/surveillantes du forage et des services reliés à l'extraction de pétrole et de gaz
8231	Natural resources, agriculture and related production occupations -> Supervisors and technical occupations in natural resources, agriculture and related production -> Underground production and development miners                                                  	Ressources naturelles, agriculture et production connexe -> Superviseurs/superviseures et métiers techniques dans les ressources naturelles, l'agriculture et la production connexe -> Mineurs/mineuses d'extraction et de préparation, mines souterraines
8232	Natural resources, agriculture and related production occupations -> Supervisors and technical occupations in natural resources, agriculture and related production -> Oil and gas well drillers, servicers, testers and related workers                              	Ressources naturelles, agriculture et production connexe -> Superviseurs/superviseures et métiers techniques dans les ressources naturelles, l'agriculture et la production connexe -> Foreurs/foreuses et personnel de mise à l'essai et des autres services reliés à l'extraction de pétrole et de gaz
8252	Natural resources, agriculture and related production occupations -> Supervisors and technical occupations in natural resources, agriculture and related production -> Agricultural service contractors, farm supervisors and specialized livestock workers           	Ressources naturelles, agriculture et production connexe -> Superviseurs/superviseures et métiers techniques dans les ressources naturelles, l'agriculture et la production connexe -> Entrepreneurs/entrepreneuses de services agricoles, surveillants/surveillantes d'exploitations agricoles et ouvriers spécialisés/ouvrières spécialisées dans l'élevage
8255	Natural resources, agriculture and related production occupations -> Supervisors and technical occupations in natural resources, agriculture and related production -> Contractors and supervisors, landscaping, grounds maintenance and horticulture services        	Ressources naturelles, agriculture et production connexe -> Superviseurs/superviseures et métiers techniques dans les ressources naturelles, l'agriculture et la production connexe -> Entrepreneurs/entrepreneuses et superviseurs/superviseures des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture
8412	Natural resources, agriculture and related production occupations -> Workers in natural resources, agriculture and related production -> Oil and gas well drilling and related workers and services operators                                                         	Ressources naturelles, agriculture et production connexe -> Personnel en ressources naturelles, en agriculture et en production connexe -> Personnel du forage et de l'entretien des puits de pétrole et de gaz et personnel assimilé
8422	Natural resources, agriculture and related production occupations -> Workers in natural resources, agriculture and related production -> Silviculture and forestry workers                                                                                            	Ressources naturelles, agriculture et production connexe -> Personnel en ressources naturelles, en agriculture et en production connexe -> Ouvriers/ouvrières en sylviculture et en exploitation forestière
8431	Natural resources, agriculture and related production occupations -> Workers in natural resources, agriculture and related production -> General farm workers                                                                                                         	Ressources naturelles, agriculture et production connexe -> Personnel en ressources naturelles, en agriculture et en production connexe -> Ouvriers/ouvrières agricoles
8432	Natural resources, agriculture and related production occupations -> Workers in natural resources, agriculture and related production -> Nursery and greenhouse workers                                                                                               	Ressources naturelles, agriculture et production connexe -> Personnel en ressources naturelles, en agriculture et en production connexe -> Ouvriers/ouvrières de pépinières et de serres
8611	Natural resources, agriculture and related production occupations -> Harvesting, landscaping and natural resources labourers -> Harvesting labourers                                                                                                                  	Ressources naturelles, agriculture et production connexe -> Manoeuvres à la récolte, en aménagement paysager et en ressources naturelles -> Manoeuvres à la récolte
8612	Natural resources, agriculture and related production occupations -> Harvesting, landscaping and natural resources labourers -> Landscaping and grounds maintenance labourers                                                                                         	Ressources naturelles, agriculture et production connexe -> Manoeuvres à la récolte, en aménagement paysager et en ressources naturelles -> Manoeuvres en aménagement paysager et en entretien des terrains
8613	Natural resources, agriculture and related production occupations -> Harvesting, landscaping and natural resources labourers -> Aquaculture and marine harvest labourers                                                                                              	Ressources naturelles, agriculture et production connexe -> Manoeuvres à la récolte, en aménagement paysager et en ressources naturelles -> Manoeuvres de l'aquaculture et de la mariculture
8614	Natural resources, agriculture and related production occupations -> Harvesting, landscaping and natural resources labourers -> Mine labourers                                                                                                                        	Ressources naturelles, agriculture et production connexe -> Manoeuvres à la récolte, en aménagement paysager et en ressources naturelles -> Manoeuvres des mines
8615	Natural resources, agriculture and related production occupations -> Harvesting, landscaping and natural resources labourers -> Oil and gas drilling, servicing and related labourers                                                                                 	Ressources naturelles, agriculture et production connexe -> Manoeuvres à la récolte, en aménagement paysager et en ressources naturelles -> Manoeuvres de forage et d'entretien des puits de pétrole et de gaz, et personnel assimilé
8616	Natural resources, agriculture and related production occupations -> Harvesting, landscaping and natural resources labourers -> Logging and forestry labourers                                                                                                        	Ressources naturelles, agriculture et production connexe -> Manoeuvres à la récolte, en aménagement paysager et en ressources naturelles -> Manoeuvres de l'exploitation forestière
9   	Occupations in manufacturing and utilities                                                                                                                                                                                                                            	Fabrication et services d'utilité publique
92  	Occupations in manufacturing and utilities -> Processing, manufacturing and utilities supervisors and central control operators                                                                                                                                       	Fabrication et services d'utilité publique -> Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs/opératrices de poste central de contrôle
921 	Occupations in manufacturing and utilities -> Processing, manufacturing and utilities supervisors and central control operators -> Supervisors, processing and manufacturing occupations                                                                              	Fabrication et services d'utilité publique -> Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs/opératrices de poste central de contrôle -> Surveillants/surveillantes dans la transformation et la fabrication
9211	Occupations in manufacturing and utilities -> Processing, manufacturing and utilities supervisors and central control operators -> Supervisors, mineral and metal processing                                                                                          	Fabrication et services d'utilité publique -> Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs/opératrices de poste central de contrôle -> Surveillants/surveillantes dans la transformation des métaux et des minerais
9212	Occupations in manufacturing and utilities -> Processing, manufacturing and utilities supervisors and central control operators -> Supervisors, petroleum, gas and chemical processing and utilities                                                                  	Fabrication et services d'utilité publique -> Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs/opératrices de poste central de contrôle -> Surveillants/surveillantes dans le raffinage du pétrole, dans le traitement du gaz et des produits chimiques et dans les services d'utilité publique
9213	Occupations in manufacturing and utilities -> Processing, manufacturing and utilities supervisors and central control operators -> Supervisors, food, beverage and associated products processing                                                                     	Fabrication et services d'utilité publique -> Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs/opératrices de poste central de contrôle -> Surveillants/surveillantes dans la transformation des aliments et des boissons
9214	Occupations in manufacturing and utilities -> Processing, manufacturing and utilities supervisors and central control operators -> Supervisors, plastic and rubber products manufacturing                                                                             	Fabrication et services d'utilité publique -> Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs/opératrices de poste central de contrôle -> Surveillants/surveillantes dans la fabrication de produits en caoutchouc et en plastique
9215	Occupations in manufacturing and utilities -> Processing, manufacturing and utilities supervisors and central control operators -> Supervisors, forest products processing                                                                                            	Fabrication et services d'utilité publique -> Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs/opératrices de poste central de contrôle -> Surveillants/surveillantes dans la transformation des produits forestiers
9221	Occupations in manufacturing and utilities -> Processing, manufacturing and utilities supervisors and central control operators -> Supervisors, motor vehicle assembling                                                                                              	Fabrication et services d'utilité publique -> Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs/opératrices de poste central de contrôle -> Surveillants/surveillantes dans la fabrication de véhicules automobiles
9227	Occupations in manufacturing and utilities -> Processing, manufacturing and utilities supervisors and central control operators -> Supervisors, other products manufacturing and assembly                                                                             	Fabrication et services d'utilité publique -> Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs/opératrices de poste central de contrôle -> Surveillants/surveillantes dans la fabrication et le montage de produits divers
9231	Occupations in manufacturing and utilities -> Processing, manufacturing and utilities supervisors and central control operators -> Central control and process operators, mineral and metal processing                                                                	Fabrication et services d'utilité publique -> Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs/opératrices de poste central de contrôle -> Opérateurs/opératrices de poste central de contrôle et de conduite de procédés industriels dans le traitement des métaux et des minerais
9232	Occupations in manufacturing and utilities -> Processing, manufacturing and utilities supervisors and central control operators -> Petroleum, gas and chemical process operators                                                                                      	Fabrication et services d'utilité publique -> Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs/opératrices de poste central de contrôle -> Opérateurs/opératrices de salle de commande centrale et de conduite de procédés industriels dans le raffinage du pétrole et le traitement du gaz et des produits chimiques
9241	Occupations in manufacturing and utilities -> Processing, manufacturing and utilities supervisors and central control operators -> Power engineers and power systems operators                                                                                        	Fabrication et services d'utilité publique -> Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs/opératrices de poste central de contrôle -> Mécaniciens/mécaniciennes de centrales et opérateurs/opératrices de réseaux électriques
9243	Occupations in manufacturing and utilities -> Processing, manufacturing and utilities supervisors and central control operators -> Water and waste treatment plant operators                                                                                          	Fabrication et services d'utilité publique -> Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs/opératrices de poste central de contrôle -> Opérateurs/opératrices d'installations du traitement de l'eau et des déchets
94  	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers                                                                                                                                           	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé
941 	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers -> Machine operators and related workers in mineral and metal products processing and manufacturing                                       	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé -> Opérateurs/opératrices de machines dans le traitement et la fabrication des métaux et des minerais et personnel assimilé
9411	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers -> Machine operators, mineral and metal processing                                                                                        	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé -> Opérateurs/opératrices de machines dans le traitement des métaux et des minerais
9413	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers -> Glass forming and finishing machine operators and glass cutters                                                                        	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé -> Opérateurs/opératrices de machines à former et à finir le verre et coupeurs/coupeuses de verre
9414	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers -> Concrete, clay and stone forming operators                                                                                             	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé -> Opérateurs/opératrices de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre
9415	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers -> Inspectors and testers, mineral and metal processing                                                                                   	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé -> Contrôleurs/contrôleuses et essayeurs/essayeuses dans la transformation des métaux et des minerais
9416	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers -> Metalworking and forging machine operators                                                                                             	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé -> Opérateurs/opératrices de machines à forger et à travailler les métaux
9417	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers -> Machining tool operators                                                                                                               	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé -> Opérateurs/opératrices de machines d'usinage
9418	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers -> Other metal products machine operators                                                                                                 	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé -> Opérateurs/opératrices de machines d'autres produits métalliques
9421	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers -> Chemical plant machine operators                                                                                                       	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé -> Opérateurs/opératrices d'installations de traitement des produits chimiques
9422	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers -> Plastics processing machine operators                                                                                                  	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé -> Opérateurs/opératrices de machines de traitement des matières plastiques
9423	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers -> Rubber processing machine operators and related workers                                                                                	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé -> Opérateurs/opératrices de machines de transformation du caoutchouc et personnel assimilé
9441	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers -> Textile fibre and yarn, hide and pelt processing machine operators and workers                                                         	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé -> Opérateurs/opératrices de machines et travailleurs/travailleuses de traitement des fibres et des fils textiles, du cuir et des peaux
9447	Occupations in manufacturing and utilities -> Processing and manufacturing machine operators and related production workers -> Inspectors and graders, textile, fabric, fur and leather products manufacturing                                                        	Fabrication et services d'utilité publique -> Opérateurs/opératrices de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé -> Contrôleurs/contrôleuses et trieurs/trieuses dans la fabrication de produits textiles, de tissus, de fourrure et de cuir
