"Program","Year","University","Grades","Percent"
"AGR","2013","WIN","<70",
"AGR","2013","WIN","Avg",
"AGR","2013","YOR",">=95",0
"AGR","2013","YOR","90-94",0
"AGR","2013","YOR","85-89",0
"AGR","2013","YOR","80-84",0
"AGR","2013","YOR","75-79",0
"AGR","2013","YOR","70-74",0
"AGR","2013","YOR","<70",0
"AGR","2013","YOR","Avg",0
"AGR","2012","ALG",">=95",0
"AGR","2012","ALG","90-94",0
"AGR","2012","ALG","85-89",0
"AGR","2012","ALG","80-84",0
"AGR","2012","ALG","75-79",0
"AGR","2012","ALG","70-74",0
"AGR","2012","ALG","<70",0
"AGR","2012","ALG","Avg",0
"AGR","2012","BRO",">=95",
"AGR","2012","BRO","90-94",
"AGR","2012","BRO","85-89",
"AGR","2012","BRO","80-84",
"AGR","2012","BRO","75-79",
"AGR","2012","BRO","70-74",
"AGR","2012","BRO","<70",
"AGR","2012","BRO","Avg",
"AGR","2012","CAR",">=95",0
"AGR","2012","CAR","90-94",0
"AGR","2012","CAR","85-89",0
"AGR","2012","CAR","80-84",0
"AGR","2012","CAR","75-79",0
"AGR","2012","CAR","70-74",0
"AGR","2012","CAR","<70",0
"AGR","2012","CAR","Avg",0
"AGR","2012","GUE",">=95",.011
"AGR","2012","GUE","90-94",.011
