"School","Year","Metric","Value","Headcount"
"MOH","14-15","Age","35 - 39","304"
"MOH","15-16","Age","35 - 39","282"
"MOH","12-13","Age","40 - 44","228"
"MOH","13-14","Age","40 - 44","238"
"MOH","14-15","Age","40 - 44","208"
"MOH","15-16","Age","40 - 44","180"
"MOH","12-13","Age","45 - 49","167"
"MOH","13-14","Age","45 - 49","148"
"MOH","14-15","Age","45 - 49","146"
"MOH","15-16","Age","45 - 49","114"
"MOH","12-13","Age","50 - 54","80"
"MOH","13-14","Age","50 - 54","57"
"MOH","14-15","Age","50 - 54","67"
"MOH","15-16","Age","50 - 54","63"
"MOH","12-13","Age","55 - 59","23"
"MOH","13-14","Age","55 - 59","27"
"MOH","14-15","Age","55 - 59","22"
"MOH","15-16","Age","55 - 59","34"
"NIA","12-13","Age","0 - 17","156"
"NIA","13-14","Age","0 - 17","156"
"NIA","14-15","Age","0 - 17","170"
"NIA","15-16","Age","0 - 17","190"
"NIA","12-13","Age","18 - 19","2735"
"NIA","13-14","Age","18 - 19","2912"
"NIA","14-15","Age","18 - 19","2769"
"NIA","15-16","Age","18 - 19","2649"
"NIA","12-13","Age","20 - 24","4001"
"NIA","13-14","Age","20 - 24","4105"
"NIA","14-15","Age","20 - 24","4031"
"NIA","15-16","Age","20 - 24","4308"
