"School","Year","Level","Metric","Value","Headcount"
"LAK","14-15","U","Age","50-54",17
"LAK","15-16","G","Age","50-54",24
"LAK","12-13","U","Age","55-59",12
"LAU","12-13","U","Age","0-17",11
"LAU","13-14","U","Age","0-17",12
"LAU","14-15","U","Age","0-17",16
"LAU","15-16","U","Age","0-17",17
"LAU","12-13","U","Age","18-19",1823
"LAU","13-14","U","Age","18-19",1938
"LAU","14-15","U","Age","18-19",2097
"LAU","15-16","U","Age","18-19",2039
"LAU","12-13","G","Age","20-24",132
"LAU","12-13","U","Age","20-24",3570
"LAU","13-14","G","Age","20-24",156
"LAU","13-14","U","Age","20-24",3486
"LAU","14-15","G","Age","20-24",160
"LAU","14-15","U","Age","20-24",3313
"LAU","15-16","G","Age","20-24",160
"LAU","15-16","U","Age","20-24",3417
"LAU","12-13","G","Age","25-29",156
"LAU","12-13","U","Age","25-29",485
"LAU","13-14","G","Age","25-29",163
"LAU","13-14","U","Age","25-29",468
"LAU","14-15","G","Age","25-29",153
"LAU","14-15","U","Age","25-29",508
"LAU","15-16","G","Age","25-29",181
"LAU","15-16","U","Age","25-29",605
"LAU","12-13","G","Age","30-34",46
"LAU","12-13","U","Age","30-34",167
"LAU","13-14","G","Age","30-34",67
"LAU","13-14","U","Age","30-34",174
"LAU","14-15","G","Age","30-34",79
"LAU","14-15","U","Age","30-34",169
"LAU","15-16","G","Age","30-34",77
"LAU","15-16","U","Age","30-34",236
"LAU","12-13","G","Age","35-39",20
"LAU","12-13","U","Age","35-39",104
"LAU","13-14","G","Age","35-39",19
"LAU","13-14","U","Age","35-39",97
"LAU","14-15","G","Age","35-39",28
"LAU","14-15","U","Age","35-39",83
"LAU","15-16","G","Age","35-39",29
"LAU","15-16","U","Age","35-39",119
"LAU","12-13","G","Age","40-44",18
"LAU","12-13","U","Age","40-44",60
"LAU","13-14","G","Age","40-44",19
"LAU","13-14","U","Age","40-44",64
"LAU","14-15","G","Age","40-44",21
"LAU","14-15","U","Age","40-44",74
"LAU","15-16","G","Age","40-44",20
"LAU","15-16","U","Age","40-44",92
"LAU","12-13","G","Age","45-49",11
"LAU","12-13","U","Age","45-49",31
"LAU","13-14","G","Age","45-49",14
"LAU","13-14","U","Age","45-49",35
"LAU","14-15","G","Age","45-49",18
"LAU","14-15","U","Age","45-49",42
"LAU","15-16","G","Age","45-49",19
"LAU","15-16","U","Age","45-49",55
"LAU","12-13","U","Age","50-54",20
"LAU","13-14","U","Age","50-54",11
"LAU","14-15","U","Age","50-54",23
"LAU","15-16","G","Age","50-54",10
"LAU","15-16","U","Age","50-54",28
"MCM","12-13","U","Age","0-17",98
"MCM","13-14","U","Age","0-17",115
"MCM","14-15","U","Age","0-17",92
"MCM","15-16","U","Age","0-17",90
"MCM","12-13","U","Age","18-19",8557
"MCM","13-14","U","Age","18-19",8641
"MCM","14-15","U","Age","18-19",8947
"MCM","15-16","U","Age","18-19",9128
"MCM","12-13","G","Age","20-24",1344
"MCM","12-13","U","Age","20-24",11472
"MCM","13-14","G","Age","20-24",1283
"MCM","13-14","U","Age","20-24",11651
"MCM","14-15","G","Age","20-24",1337
"MCM","14-15","U","Age","20-24",11640
"MCM","15-16","G","Age","20-24",1365
"MCM","15-16","U","Age","20-24",13151
"MCM","12-13","G","Age","25-29",1427
"MCM","12-13","U","Age","25-29",1298
"MCM","13-14","G","Age","25-29",1442
"MCM","13-14","U","Age","25-29",1319
"MCM","14-15","G","Age","25-29",1459
"MCM","14-15","U","Age","25-29",1263
"MCM","15-16","G","Age","25-29",1448
"MCM","15-16","U","Age","25-29",1423
"MCM","12-13","G","Age","30-34",449
"MCM","12-13","U","Age","30-34",464
"MCM","13-14","G","Age","30-34",464
"MCM","13-14","U","Age","30-34",512
"MCM","14-15","G","Age","30-34",515
"MCM","14-15","U","Age","30-34",550
"MCM","15-16","G","Age","30-34",493
"MCM","15-16","U","Age","30-34",580
"MCM","12-13","G","Age","35-39",144
"MCM","12-13","U","Age","35-39",192
"MCM","13-14","G","Age","35-39",175
"MCM","13-14","U","Age","35-39",204
"MCM","14-15","G","Age","35-39",171
"MCM","14-15","U","Age","35-39",204
"MCM","15-16","G","Age","35-39",182
"MCM","15-16","U","Age","35-39",222
"MCM","12-13","G","Age","40-44",98
"MCM","12-13","U","Age","40-44",92
"MCM","13-14","G","Age","40-44",82
"MCM","13-14","U","Age","40-44",87
"MCM","14-15","G","Age","40-44",69
"MCM","14-15","U","Age","40-44",94
"MCM","15-16","G","Age","40-44",72
"MCM","15-16","U","Age","40-44",112
"MCM","12-13","G","Age","45-49",42
"MCM","12-13","U","Age","45-49",47
"MCM","13-14","G","Age","45-49",34
"MCM","13-14","U","Age","45-49",53
"MCM","14-15","G","Age","45-49",35
"MCM","14-15","U","Age","45-49",45
"MCM","15-16","G","Age","45-49",27
"MCM","15-16","U","Age","45-49",50
"MCM","12-13","G","Age","50-54",24
"MCM","12-13","U","Age","50-54",21
"MCM","13-14","G","Age","50-54",30
"MCM","13-14","U","Age","50-54",20
"MCM","14-15","G","Age","50-54",19
"MCM","14-15","U","Age","50-54",19
"MCM","15-16","G","Age","50-54",16
"MCM","15-16","U","Age","50-54",18
"MCM","14-15","G","Age","55-59",12
"MCM","15-16","U","Age","55-59",13
"NIP","12-13","U","Age","18-19",974
"NIP","13-14","U","Age","18-19",989
"NIP","14-15","U","Age","18-19",929
"NIP","15-16","U","Age","18-19",947
"NIP","12-13","G","Age","20-24",30
"NIP","12-13","U","Age","20-24",2218
"NIP","13-14","G","Age","20-24",36
"NIP","13-14","U","Age","20-24",2027
"NIP","14-15","G","Age","20-24",47
"NIP","14-15","U","Age","20-24",1991
"NIP","15-16","G","Age","20-24",37
"NIP","15-16","U","Age","20-24",1781
"NIP","12-13","G","Age","25-29",35
"NIP","12-13","U","Age","25-29",306
"NIP","13-14","G","Age","25-29",28
"NIP","13-14","U","Age","25-29",239
"NIP","14-15","G","Age","25-29",30
"NIP","14-15","U","Age","25-29",211
"NIP","15-16","G","Age","25-29",45
"NIP","15-16","U","Age","25-29",224
"NIP","12-13","G","Age","30-34",12
"NIP","12-13","U","Age","30-34",74
"NIP","13-14","G","Age","30-34",14
"NIP","13-14","U","Age","30-34",88
"NIP","14-15","G","Age","30-34",18
"NIP","14-15","U","Age","30-34",74
"NIP","15-16","G","Age","30-34",28
"NIP","15-16","U","Age","30-34",66
"NIP","12-13","G","Age","35-39",12
"NIP","12-13","U","Age","35-39",43
"NIP","13-14","G","Age","35-39",12
"NIP","13-14","U","Age","35-39",29
"NIP","14-15","G","Age","35-39",19
"NIP","14-15","U","Age","35-39",31
"NIP","15-16","G","Age","35-39",22
"NIP","15-16","U","Age","35-39",37
"NIP","12-13","U","Age","40-44",33
"NIP","13-14","U","Age","40-44",19
"NIP","14-15","U","Age","40-44",24
"NIP","15-16","G","Age","40-44",11
"NIP","15-16","U","Age","40-44",24
"NIP","12-13","U","Age","45-49",12
"NIP","13-14","U","Age","45-49",18
"NIP","14-15","U","Age","45-49",15
"NIP","15-16","U","Age","45-49",14
"NOS","12-13","U","Age","20-24",89
"NOS","13-14","U","Age","20-24",95
"NOS","14-15","U","Age","20-24",82
"NOS","15-16","U","Age","20-24",79
"NOS","12-13","U","Age","25-29",160
"NOS","13-14","U","Age","25-29",177
"NOS","14-15","U","Age","25-29",191
"NOS","15-16","U","Age","25-29",205
"NOS","12-13","U","Age","30-34",77
"NOS","13-14","U","Age","30-34",76
"NOS","14-15","U","Age","30-34",95
"NOS","15-16","U","Age","30-34",89
"NOS","12-13","U","Age","35-39",35
"NOS","13-14","U","Age","35-39",41
"NOS","14-15","U","Age","35-39",29
"NOS","15-16","U","Age","35-39",38
"NOS","12-13","U","Age","40-44",13
"NOS","13-14","U","Age","40-44",11
"NOS","14-15","U","Age","40-44",16
"NOS","15-16","U","Age","40-44",13
"OCA","12-13","U","Age","18-19",1115
"OCA","13-14","U","Age","18-19",1078
"OCA","14-15","U","Age","18-19",1007
"OCA","15-16","U","Age","18-19",1023
"OCA","12-13","G","Age","20-24",26
"OCA","12-13","U","Age","20-24",1893
"OCA","13-14","G","Age","20-24",28
"OCA","13-14","U","Age","20-24",1893
"OCA","14-15","G","Age","20-24",30
"OCA","14-15","U","Age","20-24",1955
"OCA","15-16","G","Age","20-24",29
"OCA","15-16","U","Age","20-24",1875
"OCA","12-13","G","Age","25-29",42
"OCA","12-13","U","Age","25-29",300
"OCA","13-14","G","Age","25-29",55
"OCA","13-14","U","Age","25-29",303
"OCA","14-15","G","Age","25-29",59
"OCA","14-15","U","Age","25-29",284
"OCA","15-16","G","Age","25-29",69
"OCA","15-16","U","Age","25-29",304
"OCA","12-13","G","Age","30-34",18
"OCA","12-13","U","Age","30-34",81
"OCA","13-14","G","Age","30-34",22
"OCA","13-14","U","Age","30-34",71
"OCA","14-15","G","Age","30-34",25
"OCA","14-15","U","Age","30-34",66
"OCA","15-16","G","Age","30-34",30
"OCA","15-16","U","Age","30-34",65
"OCA","12-13","G","Age","35-39",13
"OCA","12-13","U","Age","35-39",21
"OCA","13-14","G","Age","35-39",16
"OCA","13-14","U","Age","35-39",22
"OCA","14-15","G","Age","35-39",20
"OCA","14-15","U","Age","35-39",18
"OCA","15-16","G","Age","35-39",18
"OCA","15-16","U","Age","35-39",21
"OCA","12-13","G","Age","40-44",10
"OCA","13-14","G","Age","40-44",16
"OCA","13-14","U","Age","40-44",10
"OCA","14-15","G","Age","40-44",13
"OCA","13-14","G","Age","50-54",12
"OTT","12-13","U","Age","0-17",248
"OTT","13-14","U","Age","0-17",242
"OTT","14-15","U","Age","0-17",271
"OTT","15-16","U","Age","0-17",291
"OTT","12-13","U","Age","18-19",9672
"OTT","13-14","U","Age","18-19",9910
"OTT","14-15","U","Age","18-19",9791
"OTT","15-16","U","Age","18-19",9845
"OTT","12-13","G","Age","20-24",1728
"OTT","12-13","U","Age","20-24",15486
"OTT","13-14","G","Age","20-24",1933
"OTT","13-14","U","Age","20-24",15440
"OTT","14-15","G","Age","20-24",1905
"OTT","14-15","U","Age","20-24",15820
"OTT","15-16","G","Age","20-24",1790
"OTT","15-16","U","Age","20-24",16262
"OTT","12-13","G","Age","25-29",1846
"OTT","12-13","U","Age","25-29",2642
"OTT","13-14","G","Age","25-29",1860
"OTT","13-14","U","Age","25-29",2581
"OTT","14-15","G","Age","25-29",1923
"OTT","14-15","U","Age","25-29",2615
"OTT","15-16","G","Age","25-29",1914
"OTT","15-16","U","Age","25-29",2410
"OTT","12-13","G","Age","30-34",741
"OTT","12-13","U","Age","30-34",902
"OTT","13-14","G","Age","30-34",749
"OTT","13-14","U","Age","30-34",947
"OTT","14-15","G","Age","30-34",790
"OTT","14-15","U","Age","30-34",904
"OTT","15-16","G","Age","30-34",856
"OTT","15-16","U","Age","30-34",822
"OTT","12-13","G","Age","35-39",358
"OTT","12-13","U","Age","35-39",491
"OTT","13-14","G","Age","35-39",401
"OTT","13-14","U","Age","35-39",462
"OTT","14-15","G","Age","35-39",413
"OTT","14-15","U","Age","35-39",404
"OTT","15-16","G","Age","35-39",385
"OTT","15-16","U","Age","35-39",333
"OTT","12-13","G","Age","40-44",224
"OTT","12-13","U","Age","40-44",241
"OTT","13-14","G","Age","40-44",241
"OTT","13-14","U","Age","40-44",245
"OTT","14-15","G","Age","40-44",258
"OTT","14-15","U","Age","40-44",263
"OTT","15-16","G","Age","40-44",269
"OTT","15-16","U","Age","40-44",210
"OTT","12-13","G","Age","45-49",155
"OTT","12-13","U","Age","45-49",152
"OTT","13-14","G","Age","45-49",149
"OTT","13-14","U","Age","45-49",108
"OTT","14-15","G","Age","45-49",169
"OTT","14-15","U","Age","45-49",124
"OTT","15-16","G","Age","45-49",174
"OTT","15-16","U","Age","45-49",105
"OTT","12-13","G","Age","50-54",90
"OTT","12-13","U","Age","50-54",52
"OTT","13-14","G","Age","50-54",99
"OTT","13-14","U","Age","50-54",55
"OTT","14-15","G","Age","50-54",115
"OTT","14-15","U","Age","50-54",51
"OTT","15-16","G","Age","50-54",111
"OTT","15-16","U","Age","50-54",39
"OTT","12-13","G","Age","55-59",41
"OTT","12-13","U","Age","55-59",27
"OTT","13-14","G","Age","55-59",41
"OTT","13-14","U","Age","55-59",38
"OTT","14-15","G","Age","55-59",48
"OTT","14-15","U","Age","55-59",20
"OTT","15-16","G","Age","55-59",53
"OTT","15-16","U","Age","55-59",14
"OTT","12-13","G","Age","60+",29
"OTT","13-14","G","Age","60+",30
"OTT","14-15","G","Age","60+",34
"OTT","15-16","G","Age","60+",49
"OTT","15-16","U","Age","60+",10
"QUE","12-13","U","Age","0-17",78
"QUE","13-14","U","Age","0-17",73
"QUE","14-15","U","Age","0-17",94
"QUE","15-16","U","Age","0-17",71
"QUE","12-13","U","Age","18-19",6879
"QUE","13-14","U","Age","18-19",7045
"QUE","14-15","U","Age","18-19",7375
"QUE","15-16","U","Age","18-19",7853
"QUE","12-13","G","Age","20-24",1140
"QUE","12-13","U","Age","20-24",9017
"QUE","13-14","G","Age","20-24",1174
"QUE","13-14","U","Age","20-24",9272
"QUE","14-15","G","Age","20-24",1222
"QUE","14-15","U","Age","20-24",9662
"QUE","15-16","G","Age","20-24",1271
"QUE","15-16","U","Age","20-24",9848
"QUE","12-13","G","Age","25-29",1310
"QUE","12-13","U","Age","25-29",863
"QUE","13-14","G","Age","25-29",1286
"QUE","13-14","U","Age","25-29",866
"QUE","14-15","G","Age","25-29",1314
"QUE","14-15","U","Age","25-29",944
"QUE","15-16","G","Age","25-29",1365
"QUE","15-16","U","Age","25-29",898
"QUE","12-13","G","Age","30-34",626
"QUE","12-13","U","Age","30-34",288
"QUE","13-14","G","Age","30-34",640
"QUE","13-14","U","Age","30-34",278
"QUE","14-15","G","Age","30-34",677
"QUE","14-15","U","Age","30-34",287
"QUE","15-16","G","Age","30-34",686
"QUE","15-16","U","Age","30-34",282
"QUE","12-13","G","Age","35-39",311
"QUE","12-13","U","Age","35-39",87
"QUE","13-14","G","Age","35-39",334
"QUE","13-14","U","Age","35-39",97
"QUE","14-15","G","Age","35-39",351
"QUE","14-15","U","Age","35-39",90
"QUE","15-16","G","Age","35-39",364
"QUE","15-16","U","Age","35-39",79
"QUE","12-13","G","Age","40-44",181
"QUE","12-13","U","Age","40-44",42
"QUE","13-14","G","Age","40-44",188
"QUE","13-14","U","Age","40-44",43
"QUE","14-15","G","Age","40-44",201
