"Year","University","Metric","Schedule","Count"
2009,"OTT","Total","PT",1263
2009,"UOI","Total","FT",209
2009,"QUE","Total","FT",833
2009,"RYE","Total","FT",772
2009,"RYE","Total","PT",772
2009,"TAC","Total","FT",2393
2009,"TAC","Total","PT",2393
2009,"TRE","Total","FT",239
2009,"TRE","Total","PT",239
2009,"WAT","Total","FT",1
2009,"WAT","Total","PT",1
2009,"WMC","Total","FT",1284
2009,"WBC","Total","FT",35
2009,"WBC","Total","PT",35
2009,"WHC","Total","FT",53
2009,"WHC","Total","PT",53
2009,"WIN","Total","FT",522
2009,"WIN","Total","PT",522
2009,"YOR","Total","FT",1465
2009,"YOR","Total","PT",1465
2008,"MCM","Total","FT",885
2008,"WAT","Total","FT",987
2008,"WAT","Total","PT",987
2007,"MCM","Total","FT",894
2007,"WAT","Total","FT",951
2007,"WAT","Total","PT",951
2006,"MCM","Total","FT",843
2006,"WAT","Total","FT",921
2006,"WAT","Total","PT",921
2005,"MCM","Total","FT",826
2005,"MCM","Total","PT",826
