"Program","Year","Confirmed","Choice","Count"
"NUR","11-12","N",2,5520
"NUR","11-12","N",3,4267
"NUR","11-12","N",4,4296
"NUR","12-13","N",1,7339
"NUR","12-13","N",2,5758
"NUR","12-13","N",3,4546
"NUR","12-13","N",4,4689
"NUR","13-14","N",1,7647
"NUR","13-14","N",2,6152
"NUR","13-14","N",3,4886
"NUR","13-14","N",4,5486
"NUR","14-15","N",1,8125
"NUR","14-15","N",2,6555
"NUR","14-15","N",3,5105
"NUR","14-15","N",4,6346
"NUR","15-16","N",1,8114
"NUR","15-16","N",2,6565
"NUR","15-16","N",3,5119
"NUR","15-16","N",4,6406
"NUR","16-17","N",1,8124
"NUR","16-17","N",2,6516
"NUR","16-17","N",3,5175
"NUR","16-17","N",4,6732
"OPT","07-08","N",1,173
"OPT","07-08","N",2,0
"OPT","07-08","N",3,0
"OPT","07-08","N",4,2
"OPT","08-09","N",1,251
"OPT","08-09","N",2,1
"OPT","08-09","N",3,0
"OPT","08-09","N",4,1
"OPT","09-10","N",1,0
"OPT","09-10","N",2,0
"OPT","09-10","N",3,0
"OPT","09-10","N",4,0
"OPT","10-11","N",1,0
"OPT","10-11","N",2,0
"OPT","10-11","N",3,0
"OPT","10-11","N",4,0
"OPT","11-12","N",1,0
"OPT","11-12","N",2,0
"OPT","11-12","N",3,0
"OPT","11-12","N",4,0
"OAD","07-08","N",1,1378
"OAD","07-08","N",2,1199
"OAD","07-08","N",3,944
"OAD","07-08","N",4,1344
"OAD","08-09","N",1,1166
"OAD","08-09","N",2,1088
"OAD","08-09","N",3,887
"OAD","08-09","N",4,1479
"OAD","09-10","N",1,1219
"OAD","09-10","N",2,1154
"OAD","09-10","N",3,964
"OAD","09-10","N",4,1455
"OAD","10-11","N",1,1263
"OAD","10-11","N",2,1311
"OAD","10-11","N",3,1155
"OAD","10-11","N",4,1542
"OAD","11-12","N",1,1335
"OAD","11-12","N",2,1430
"OAD","11-12","N",3,1255
"OAD","11-12","N",4,1690
"OAD","12-13","N",1,1570
"OAD","12-13","N",2,1662
"OAD","12-13","N",3,1261
"OAD","12-13","N",4,1872
"OAD","13-14","N",1,1587
"OAD","13-14","N",2,1612
"OAD","13-14","N",3,1423
"OAD","13-14","N",4,1998
"OAD","14-15","N",1,1479
"OAD","14-15","N",2,1423
"OAD","14-15","N",3,1238
"OAD","14-15","N",4,1879
"OAD","15-16","N",1,1334
"OAD","15-16","N",2,1406
"OAD","15-16","N",3,1171
"OAD","15-16","N",4,1924
"OAD","16-17","N",1,1333
"OAD","16-17","N",2,1441
"OAD","16-17","N",3,1159
"OAD","16-17","N",4,1965
"ODE","07-08","N",1,3748
"ODE","07-08","N",2,2562
"ODE","07-08","N",3,2138
"ODE","07-08","N",4,2941
"ODE","08-09","N",1,3934
"ODE","08-09","N",2,2374
"ODE","08-09","N",3,1926
"ODE","08-09","N",4,2617
"ODE","09-10","N",1,4165
"ODE","09-10","N",2,2408
"ODE","09-10","N",3,1853
"ODE","09-10","N",4,2505
"ODE","10-11","N",1,4622
"ODE","10-11","N",2,2533
"ODE","10-11","N",3,1871
"ODE","10-11","N",4,2519
"ODE","11-12","N",1,4861
"ODE","11-12","N",2,2670
"ODE","11-12","N",3,1941
"ODE","11-12","N",4,2596
"ODE","12-13","N",1,4991
"ODE","12-13","N",2,2639
"ODE","12-13","N",3,1947
"ODE","12-13","N",4,2643
"ODE","13-14","N",1,5052
"ODE","13-14","N",2,2669
"ODE","13-14","N",3,1995
"ODE","13-14","N",4,2883
"ODE","14-15","N",1,5605
"ODE","14-15","N",2,2813
"ODE","14-15","N",3,2093
"ODE","14-15","N",4,3104
"ODE","15-16","N",1,5463
"ODE","15-16","N",2,2838
"ODE","15-16","N",3,1896
"ODE","15-16","N",4,2930
"ODE","16-17","N",1,5562
"ODE","16-17","N",2,2916
"ODE","16-17","N",3,2134
"ODE","16-17","N",4,3640
"PHE","07-08","N",1,5154
"PHE","07-08","N",2,4656
"PHE","07-08","N",3,4286
"PHE","07-08","N",4,6124
"PHE","08-09","N",1,4652
"PHE","08-09","N",2,4098
"PHE","08-09","N",3,3823
"PHE","08-09","N",4,5372
"PHE","09-10","N",1,4894
"PHE","09-10","N",2,4239
"PHE","09-10","N",3,3940
"PHE","09-10","N",4,5252
"PHE","10-11","N",1,5144
"PHE","10-11","N",2,4522
"PHE","10-11","N",3,4178
"PHE","10-11","N",4,5456
"PHE","11-12","N",1,5383
"PHE","11-12","N",2,4758
"PHE","11-12","N",3,4412
"PHE","11-12","N",4,5781
"PHE","12-13","N",1,5337
"PHE","12-13","N",2,4736
"PHE","12-13","N",3,4285
"PHE","12-13","N",4,5663
"PHE","13-14","N",1,5287
"PHE","13-14","N",2,4743
"PHE","13-14","N",3,4203
"PHE","13-14","N",4,5703
"PHE","14-15","N",1,5374
"PHE","14-15","N",2,4699
"PHE","14-15","N",3,4303
"PHE","14-15","N",4,6082
"PHE","15-16","N",1,5725
"PHE","15-16","N",2,4856
"PHE","15-16","N",3,4403
"PHE","15-16","N",4,6359
"PHE","16-17","N",1,5673
"PHE","16-17","N",2,5059
"PHE","16-17","N",3,4534
"PHE","16-17","N",4,6827
"PYP","07-08","N",1,17
"PYP","07-08","N",2,5
"PYP","07-08","N",3,4
"PYP","07-08","N",4,7
"PYP","08-09","N",1,14
"PYP","08-09","N",2,5
"PYP","08-09","N",3,5
"PYP","08-09","N",4,8
"PYP","09-10","N",1,8
"PYP","09-10","N",2,10
"PYP","09-10","N",3,7
"PYP","09-10","N",4,9
"PYP","10-11","N",1,9
"PYP","10-11","N",2,2
"PYP","10-11","N",3,3
"PYP","10-11","N",4,2
"PYP","11-12","N",1,8
"PYP","11-12","N",2,6
"PYP","11-12","N",3,5
"PYP","11-12","N",4,14
"PYP","12-13","N",1,11
"PYP","12-13","N",2,2
"PYP","12-13","N",3,5
"PYP","12-13","N",4,6
"PYP","13-14","N",1,14
"PYP","13-14","N",2,3
"PYP","13-14","N",3,5
"PYP","13-14","N",4,8
"PYP","14-15","N",1,18
"PYP","14-15","N",2,6
"PYP","14-15","N",3,5
"PYP","14-15","N",4,13
"PYP","15-16","N",1,18
"PYP","15-16","N",2,3
"PYP","15-16","N",3,6
"PYP","15-16","N",4,11
"PYP","16-17","N",1,8
"PYP","16-17","N",2,3
"PYP","16-17","N",3,5
"PYP","16-17","N",4,1
"RME","07-08","N",1,1
"RME","07-08","N",2,8
"RME","07-08","N",3,6
"RME","07-08","N",4,3
"RME","08-09","N",1,1
"RME","08-09","N",2,2
"RME","08-09","N",3,3
"RME","08-09","N",4,4
"RME","09-10","N",1,3
"RME","09-10","N",2,7
"RME","09-10","N",3,5
"RME","09-10","N",4,6
"RME","10-11","N",1,1
"RME","10-11","N",2,3
"RME","10-11","N",3,3
"RME","10-11","N",4,3
"RME","11-12","N",1,4
"RME","11-12","N",2,3
"RME","11-12","N",3,2
"RME","11-12","N",4,2
"RME","12-13","N",1,2
"RME","12-13","N",2,2
"RME","12-13","N",3,4
"RME","12-13","N",4,4
"RME","13-14","N",1,2
"RME","13-14","N",2,1
"RME","13-14","N",3,1
"RME","13-14","N",4,4
"RME","14-15","N",1,0
"RME","14-15","N",2,5
"RME","14-15","N",3,2
"RME","14-15","N",4,2
"RME","15-16","N",1,0
"RME","15-16","N",2,1
"RME","15-16","N",3,1
"RME","15-16","N",4,1
"RME","16-17","N",1,1
"RME","16-17","N",2,5
"RME","16-17","N",3,1
"RME","16-17","N",4,1
"SCI","07-08","N",1,21851
"SCI","07-08","N",2,20679
"SCI","07-08","N",3,19421
"SCI","07-08","N",4,30340
"SCI","08-09","N",1,22226
"SCI","08-09","N",2,21142
"SCI","08-09","N",3,19647
"SCI","08-09","N",4,30809
"SCI","09-10","N",1,22638
