"AcademicYear","University","Question","StudentYear","Score","Percentage"
2014,"YOR","Q1","Sr","S2",.534
2014,"YOR","Q1","Sr","S1",.211
2014,"YOR","Q1","Sr","S0",.045
2011,"BRO","Q1","Sr","S3",.326
2011,"BRO","Q1","Sr","S2",.534
2011,"BRO","Q1","Sr","S1",.12
2011,"BRO","Q1","Sr","S0",.019
2011,"CAR","Q1","Sr","S3",.366
2011,"CAR","Q1","Sr","S2",.529
2011,"CAR","Q1","Sr","S1",.138
2011,"CAR","Q1","Sr","S0",.027
2011,"GUE","Q1","Sr","S3",.49
2011,"GUE","Q1","Sr","S2",.4
2011,"GUE","Q1","Sr","S1",.09
2011,"GUE","Q1","Sr","S0",.02
2011,"LAK","Q1","Sr","S3",.26
2011,"LAK","Q1","Sr","S2",.52
2011,"LAK","Q1","Sr","S1",.18
2011,"LAK","Q1","Sr","S0",.04
2011,"LAU","Q1","Sr","S3",.241
2011,"LAU","Q1","Sr","S2",.499
2011,"LAU","Q1","Sr","S1",.183
2011,"LAU","Q1","Sr","S0",.077
2011,"MCM","Q1","Sr","S3",.351
2011,"MCM","Q1","Sr","S2",.483
2011,"MCM","Q1","Sr","S1",.134
2011,"MCM","Q1","Sr","S0",.032
2011,"NIP","Q1","Sr","S3",.38
2011,"NIP","Q1","Sr","S2",.5
2011,"NIP","Q1","Sr","S1",.11
2011,"NIP","Q1","Sr","S0",.01
2011,"OCA","Q1","Sr","S3",.2
2011,"OCA","Q1","Sr","S2",.53
2011,"OCA","Q1","Sr","S1",.22
2011,"OCA","Q1","Sr","S0",.05
2011,"OTT","Q1","Sr","S3",.14
2011,"OTT","Q1","Sr","S2",.56
2011,"OTT","Q1","Sr","S1",.26
2011,"OTT","Q1","Sr","S0",.04
2011,"UOI","Q1","Sr","S3",.25
2011,"UOI","Q1","Sr","S2",.53
2011,"UOI","Q1","Sr","S1",.18
2011,"UOI","Q1","Sr","S0",.03
2011,"QUE","Q1","Sr","S3",.49
2011,"QUE","Q1","Sr","S2",.37
2011,"QUE","Q1","Sr","S1",.11
2011,"QUE","Q1","Sr","S0",.03
2011,"RYE","Q1","Sr","S3",.26
2011,"RYE","Q1","Sr","S2",.51
2011,"RYE","Q1","Sr","S1",.19
2011,"RYE","Q1","Sr","S0",.04
2011,"TAC","Q1","Sr","S3",.251
2011,"TAC","Q1","Sr","S2",.463
2011,"TAC","Q1","Sr","S1",.218
2011,"TAC","Q1","Sr","S0",.069
2011,"TSG","Q1","Sr","S3",.251
2011,"TSG","Q1","Sr","S2",.457
2011,"TSG","Q1","Sr","S1",.223
2011,"TSG","Q1","Sr","S0",.068
2011,"TMI","Q1","Sr","S3",.249
2011,"TMI","Q1","Sr","S2",.46
2011,"TMI","Q1","Sr","S1",.215
