"Year","University","Subject","Metric","OSSD","Count"
2006,"BCW","AHS","A1","N",42
2006,"BCW","AHS","R1","Y",68
2006,"BCW","AHS","R1","N",22
2006,"BCW","AHS","AA","Y",457
2006,"BCW","AHS","AA","N",168
2006,"BCW","AHS","RA","Y",92
2006,"BCW","AHS","RA","N",32
2006,"BCW","CMB","A1","Y",11
2006,"BCW","CMB","A1","N",6
2006,"BCW","CMB","R1","Y",6
2006,"BCW","CMB","R1","N",2
2006,"BCW","CMB","AA","Y",78
2006,"BCW","CMB","AA","N",39
2006,"BCW","CMB","RA","Y",9
2006,"BCW","CMB","RA","N",4
2006,"BCW","PHE","A1","Y",12
2006,"BCW","PHE","A1","N",3
2006,"BCW","PHE","R1","Y",3
2006,"BCW","PHE","R1","N",1
2006,"BCW","PHE","AA","Y",111
2006,"BCW","PHE","AA","N",27
2006,"BCW","PHE","RA","Y",6
2006,"BCW","PHE","RA","N",1
2006,"BCW","HSC","A1","Y",34
2006,"BCW","HSC","A1","N",30
2006,"BCW","HSC","R1","Y",18
2006,"BCW","HSC","R1","N",8
2006,"BCW","HSC","AA","Y",123
2006,"BCW","HSC","AA","N",32
2006,"BCW","HSC","RA","Y",27
2006,"BCW","HSC","RA","N",15
2006,"BCW","ODE","A1","Y",36
2006,"BCW","ODE","A1","N",14
2006,"BCW","ODE","R1","Y",14
2006,"BCW","ODE","AA","Y",137
2006,"BCW","ODE","AA","N",49
2006,"BCW","ODE","RA","Y",20
2006,"BCW","ODE","RA","N",1
2006,"BCW","PYE","A1","Y",3
2006,"BCW","PYE","AA","Y",5
2005,"BCW","CMB","A1","Y",11
2005,"BCW","CMB","A1","N",12
2005,"BCW","CMB","R1","Y",4
2005,"BCW","CMB","R1","N",1
2005,"BCW","CMB","AA","Y",78
2005,"BCW","CMB","AA","N",41
2005,"BCW","CMB","RA","Y",23
2005,"BCW","CMB","RA","N",2
2015,"BRO","AHS","A1","Y",1113
2015,"BRO","AHS","A1","N",323
2015,"BRO","AHS","R1","Y",619
2015,"BRO","AHS","R1","N",122
2015,"BRO","AHS","AA","Y",5489
2015,"BRO","AHS","AA","N",1173
2015,"BRO","AHS","RA","Y",1081
2015,"BRO","AHS","RA","N",206
2015,"BRO","SCI","A1","Y",283
2015,"BRO","SCI","A1","N",126
2015,"BRO","SCI","R1","Y",169
2015,"BRO","SCI","R1","N",38
2015,"BRO","SCI","AA","Y",2269
2015,"BRO","SCI","AA","N",514
2015,"BRO","SCI","RA","Y",395
2015,"BRO","SCI","RA","N",71
2015,"BRO","CMB","A1","Y",496
2015,"BRO","CMB","A1","N",168
2015,"BRO","CMB","R1","Y",264
2015,"BRO","CMB","R1","N",18
2015,"BRO","CMB","AA","Y",3303
2015,"BRO","CMB","AA","N",616
2015,"BRO","CMB","RA","Y",641
2015,"BRO","CMB","RA","N",43
2015,"BRO","PHE","A1","Y",695
2015,"BRO","PHE","A1","N",260
2015,"BRO","PHE","R1","Y",360
2015,"BRO","PHE","R1","N",59
2015,"BRO","PHE","AA","Y",2801
2015,"BRO","PHE","AA","N",617
2015,"BRO","PHE","RA","Y",647
2015,"BRO","PHE","RA","N",87
2015,"BRO","FAA","A1","Y",54
2015,"BRO","FAA","A1","N",24
2015,"BRO","FAA","R1","Y",29
2015,"BRO","FAA","R1","N",10
2015,"BRO","FAA","AA","Y",351
2015,"BRO","FAA","AA","N",61
2015,"BRO","FAA","RA","Y",72
2015,"BRO","FAA","RA","N",14
2015,"BRO","MUS","A1","Y",9
2015,"BRO","MUS","R1","Y",6
2015,"BRO","MUS","AA","Y",40
