"Year","EducationLevel","Metric","AgeGroup","Sex","Count"
2001,"E6","LFO","55+","F",54.4
2001,"E6","LFO","55-64","M",36
2001,"E6","LFO","55-64","F",49.2
2001,"E6","EFT","15-24","M",40.6
2001,"E6","EFT","15-24","F",43.3
2001,"E6","EFT","25-34","M",171.5
2001,"E6","EFT","25-34","F",166.4
2001,"E6","EFT","55+","M",34.5
2001,"E6","EFT","55+","F",34.9
2001,"E6","EFT","55-64","M",31.1
2001,"E6","EFT","55-64","F",33.2
2001,"E6","EPT","15-24","M",7.8
2001,"E6","EPT","15-24","F",12.9
2001,"E6","EPT","25-34","M",8.2
2001,"E6","EPT","25-34","F",34.7
2001,"E6","EPT","55+","M",5.4
2001,"E6","EPT","55+","F",17.8
2001,"E6","EPT","55-64","M",2.9
2001,"E6","EPT","55-64","F",14.4
2001,"E6","UNE","15-24","M",4.2
2001,"E6","UNE","15-24","F",4.5
2001,"E6","UNE","25-34","M",9.8
2001,"E6","UNE","25-34","F",10.8
2001,"E6","UNE","55+","M",2.3
2001,"E6","UNE","55+","F",1.7
2001,"E6","UNE","55-64","M",2
2001,"E6","UNE","55-64","F",1.6
2001,"E6","NLF","15-24","M",7
2001,"E6","NLF","15-24","F",9.2
2001,"E6","NLF","25-34","M",9.2
2001,"E6","NLF","25-34","F",33.3
2001,"E6","NLF","55+","M",48.3
2001,"E6","NLF","55+","F",119.7
2001,"E6","NLF","55-64","M",16.8
2001,"E6","NLF","55-64","F",40.3
2001,"E6","URT","15-24","M",8
2001,"E6","URT","15-24","F",7.4
2001,"E6","URT","25-34","M",5.2
2001,"E6","URT","25-34","F",5.1
2001,"E6","URT","55+","M",5.4
2001,"E6","URT","55+","F",3.1
2001,"E6","URT","55-64","M",5.6
2001,"E6","URT","55-64","F",3.3
2001,"E6","PRT","15-24","M",88.3
2001,"E6","PRT","15-24","F",86.8
2001,"E6","PRT","25-34","M",95.4
2001,"E6","PRT","25-34","F",86.4
2001,"E6","PRT","55+","M",46.7
2001,"E6","PRT","55+","F",31.3
2001,"E6","PRT","55-64","M",68.2
2001,"E6","PRT","55-64","F",55
2001,"E6","ERT","15-24","M",81.2
2001,"E6","ERT","15-24","F",80.4
2001,"E6","ERT","25-34","M",90.5
2001,"E6","ERT","25-34","F",82
2001,"E6","ERT","55+","M",44.1
2001,"E6","ERT","55+","F",30.3
2001,"E6","ERT","55-64","M",64.4
2001,"E6","ERT","55-64","F",53.2
2001,"E7","LFO","15-24","M",10
2001,"E7","LFO","15-24","F",10.3
2001,"E7","LFO","25-34","M",17.3
2001,"E7","LFO","25-34","F",17.4
2001,"E7","LFO","55+","M",10.6
2001,"E7","LFO","55+","F",7.6
2001,"E7","LFO","55-64","M",8.7
2001,"E7","LFO","55-64","F",7.2
2001,"E7","EFT","15-24","M",6
2001,"E7","EFT","15-24","F",5.7
2001,"E7","EFT","25-34","M",15.6
2001,"E7","EFT","25-34","F",13.8
2001,"E7","EFT","55+","M",8.6
2001,"E7","EFT","55+","F",4.9
2001,"E7","EFT","55-64","M",7.3
2001,"E7","EFT","55-64","F",4.7
2001,"E7","EPT","15-24","M",2.8
2001,"E7","EPT","15-24","F",4.2
2001,"E7","EPT","25-34","F",2.9
2001,"E7","EPT","55+","M",1.6
2001,"E7","EPT","55+","F",2.3
2001,"E7","EPT","55-64","F",2.1
2001,"E7","NLF","15-24","M",6.5
2001,"E7","NLF","15-24","F",5.3
2001,"E7","NLF","25-34","M",1.6
2001,"E7","NLF","25-34","F",2
2001,"E7","NLF","55+","M",15.5
2001,"E7","NLF","55+","F",15.5
2001,"E7","NLF","55-64","M",4.8
2001,"E7","NLF","55-64","F",5.3
2001,"E7","PRT","15-24","M",61
2001,"E7","PRT","15-24","F",66
2001,"E7","PRT","25-34","M",92
2001,"E7","PRT","25-34","F",89.7
2001,"E7","PRT","55+","M",40.6
2001,"E7","PRT","55+","F",33
2001,"E7","PRT","55-64","M",64
2001,"E7","PRT","55-64","F",57.6
2001,"E7","ERT","15-24","M",53.7
2001,"E7","ERT","15-24","F",62.8
2001,"E7","ERT","25-34","M",88.3
2001,"E7","ERT","25-34","F",86.1
2001,"E7","ERT","55+","M",39.1
2001,"E7","ERT","55+","F",31.3
2001,"E7","ERT","55-64","M",61
2001,"E7","ERT","55-64","F",55.2
2001,"E8","LFO","15-24","M",22.9
2001,"E8","LFO","15-24","F",34.9
2001,"E8","LFO","25-34","M",146.6
2001,"E8","LFO","25-34","F",153.6
