"AcademicYear","Division","University","Range","StudentYear","Count","Percentage"
2009,"S","TRE","101-250",3,23,.056
2009,"S","TRE","101-250",4,13,.036
2009,"S","WAT","101-250",1,151,.277
2009,"S","WAT","101-250",2,102,.185
2009,"S","WAT","101-250",3,20,.049
2009,"S","WAT","101-250",4,9,.023
2009,"S","WMC","101-250",1,94,.285
2009,"S","WMC","101-250",2,117,.111
2009,"S","WMC","101-250",3,28,.039
2009,"S","WMC","101-250",4,4,.007
2009,"S","WHC","101-250",1,3,.048
2009,"S","WHC","101-250",2,2,.018
2009,"S","WKC","101-250",1,4,.03
2009,"S","WKC","101-250",2,2,.01
2009,"S","WLA","101-250",1,65,.353
2009,"S","WLA","101-250",2,66,.198
2009,"S","WLA","101-250",3,5,.016
2009,"S","WIN","101-250",1,49,.271
2009,"S","WIN","101-250",2,46,.197
2009,"S","WIN","101-250",3,9,.037
2009,"S","YOR","101-250",1,161,.246
2009,"S","YOR","101-250",2,114,.148
2009,"S","YOR","101-250",3,43,.041
2009,"S","YOR","101-250",4,2,.002
2008,"S","BRO","101-250",1,56,.204
2008,"S","BRO","101-250",2,73,.15
2008,"S","BRO","101-250",3,21,.038
2008,"S","BRO","101-250",4,1,.002
2008,"S","CAR","101-250",1,63,.2
2008,"S","CAR","101-250",2,71,.191
2008,"S","CAR","101-250",3,11,.029
2008,"S","CAR","101-250",4,3,.009
2008,"S","GUE","101-250",1,100,.22
2008,"S","GUE","101-250",2,139,.21
2008,"S","GUE","101-250",3,88,.09
2008,"S","GUE","101-250",4,11,.01
2008,"S","LAK","101-250",1,13,.072
2008,"S","LAK","101-250",2,8,.035
2008,"S","LAK","101-250",3,5,.019
2008,"S","LAK","101-250",4,4,.009
2008,"S","LAU","101-250",1,10,.057
2008,"S","LAU","101-250",2,2,.008
2008,"S","LAU","101-250",3,1,.004
2008,"S","MCM","101-250",1,75,.193
2008,"S","MCM","101-250",2,122,.281
2008,"S","MCM","101-250",3,44,.101
2008,"S","MCM","101-250",4,5,.014
2008,"S","NIP","101-250",1,19,.107
2008,"S","NIP","101-250",2,7,.031
2008,"S","OCA","101-250",1,3,.023
2008,"S","OCA","101-250",2,2,.01
2008,"S","OTT","101-250",1,154,.283
2008,"S","OTT","101-250",2,73,.119
2008,"S","OTT","101-250",3,29,.033
2008,"S","OTT","101-250",4,10,.015
2008,"S","UOI","101-250",1,31,.425
2008,"S","UOI","101-250",2,21,.244
2008,"S","UOI","101-250",3,10,.081
2008,"S","QUE","101-250",1,39,.079
2008,"S","QUE","101-250",2,53,.155
2008,"S","QUE","101-250",3,27,.056
2008,"S","QUE","101-250",4,5,.007
2008,"S","RYE","101-250",1,21,.253
2008,"S","RYE","101-250",2,11,.055
2008,"S","RYE","101-250",3,2,.008
2008,"S","TAC","101-250",1,114,.184
2008,"S","TAC","101-250",2,202,.217
2008,"S","TAC","101-250",3,69,.059
2008,"S","TAC","101-250",4,6,.009
2008,"S","TSG","101-250",1,71,.171
2008,"S","TSG","101-250",2,131,.244
2008,"S","TSG","101-250",3,48,.067
2008,"S","TSG","101-250",4,6,.012
2008,"S","TMI","101-250",1,21,.193
2008,"S","TMI","101-250",2,41,.216
2008,"S","TMI","101-250",3,12,.049
2008,"S","TSC","101-250",1,23,.233
2008,"S","TSC","101-250",2,30,.146
2008,"S","TSC","101-250",3,9,.042
2008,"S","TRE","101-250",1,21,.253
2008,"S","TRE","101-250",2,11,.055
2008,"S","TRE","101-250",3,2,.008
2008,"S","WAT","101-250",1,151,.277
2008,"S","WAT","101-250",2,102,.185
2008,"S","WAT","101-250",3,20,.049
2008,"S","WAT","101-250",4,9,.023
2008,"S","WMC","101-250",1,91,.274
2008,"S","WMC","101-250",2,104,.1
2008,"S","WMC","101-250",3,30,.042
2008,"S","WMC","101-250",4,4,.008
2008,"S","WHC","101-250",1,6,.117
2008,"S","WHC","101-250",2,2,.02
2008,"S","WLA","101-250",1,51,.267
2008,"S","WLA","101-250",2,60,.156
2008,"S","WIN","101-250",1,46,.253
2008,"S","WIN","101-250",2,48,.182
2008,"S","WIN","101-250",3,9,.034
2008,"S","YOR","101-250",1,119,.177
2008,"S","YOR","101-250",2,103,.134
2008,"S","YOR","101-250",3,30,.029
2008,"S","YOR","101-250",4,4,.005
2007,"S","BRO","101-250",1,50,.186
2007,"S","BRO","101-250",2,71,.149
2007,"S","BRO","101-250",3,29,.053
2007,"S","BRO","101-250",4,3,.006
2007,"S","CAR","101-250",1,59,.193
2007,"S","CAR","101-250",2,68,.19
2007,"S","CAR","101-250",3,10,.027
2007,"S","CAR","101-250",4,2,.006
2007,"S","GUE","101-250",1,130,.22
2007,"S","GUE","101-250",2,136,.17
2007,"S","GUE","101-250",3,75,.07
2007,"S","GUE","101-250",4,16,.01
2007,"S","LAK","101-250",1,14,.078
2007,"S","LAK","101-250",2,8,.036
2007,"S","LAK","101-250",3,2,.008
2007,"S","LAK","101-250",4,9,.02
2007,"S","LAU","101-250",1,9,.05
